panel	endpoint_id	primary_output	task_kind	unit	research_display_tier	current_model_id	training_or_reference_data	source_observations	evidence_tier	current_display_status	critical_interpretation_limit
core_admet_pbpk	LogD7.4	logd_7_4	regression	dimensionless_log10	E	v28_e_prior_LogD7.4	V1 strict-numeric reference: 79 rows; no current sequence C model in V2.8 research display	79	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	no sequence C model in this display; prior structure-only weak model is not silently reused
core_admet_pbpk	solubility	p_soluble	hybrid_classification_regression	probability	E	v28_e_prior_solubility	V1 strict-numeric reference: 89 rows; no current sequence C model in V2.8 research display	89	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	no sequence C model in this display; prior structure/HELM weak model is not silently reused
core_admet_pbpk	F	p_high_bioavailability	binary_classification	probability	E	v28_e_prior_F	V1 strict-numeric reference: 12 rows; no current sequence C model in V2.8 research display	12	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	probability only; must not be shown as continuous F percent
core_admet_pbpk	T1/2	t_half_h	hybrid_regression_classification	h	E	v28_e_prior_T1/2	V1 strict-numeric reference: 1392 rows; no current sequence C model in V2.8 research display	1392	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	systemic/plasma/protease/intestinal half-lives remain distinct; no single sequence C model here
core_admet_pbpk	PPB	fraction_bound	regression	fraction	E	v28_e_prior_PPB	V1 strict-numeric reference: 103 rows; no current sequence C model in V2.8 research display	103	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	fraction semantics; no sequence C model in this display
core_admet_pbpk	CL	cl_total_ml_min_kg	structured_multi_output_regression	mL/min/kg	E	v28_e_prior_CL	21 local research staging rows, blocked from semantic pooling + transparent prior	21	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	21 rows are mixed intrinsic/absolute semantics and cannot be merged into total systemic CL
core_admet_pbpk	Vd	vdss_L_kg	regression	L/kg	E	v28_e_prior_Vd	V1 strict-numeric reference: 38 rows; no current sequence C model in V2.8 research display	38	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	no sequence C model in this display
core_admet_pbpk	BBB	p_bbb_penetrant	binary_classification_with_PU_research_lane	probability	E	v28_e_prior_BBB	transparent local sequence prior	0	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	no sequence C model in this display; BBB is not Kp
core_admet_pbpk	permeability	assay_specific_log10_papp_cm_s	assay_conditioned_regression	log10(cm/s)	E	v28_e_prior_permeability	V1 strict-numeric reference: 9829 rows; no current sequence C model in V2.8 research display	9829	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	assay-specific Papp; never alias to Kp
core_admet_pbpk	Kp	kp_tissue_plasma	mechanistic_tissue_vector	dimensionless_ratio	E	v28_e_prior_Kp	3 ChEMBL review-only brain/plasma records + transparent tissue prior	3	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	3 review-only brain/plasma records; returns a five-tissue mechanism vector, not a fitted Kp model
extended_admet_tox	HIA	p_human_intestinal_absorption	binary_classification	probability	C	v28_research_hia	TDC hia_hou file_id=4259591 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	578	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	Pgp_inhibition	p_pgp_inhibitor	binary_classification	probability	C	v28_research_pgp_inhibition	TDC pgp_broccatelli file_id=4259597 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	1219	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP1A2_inhibition	p_cyp1a2_inhibitor	binary_classification	probability	C	v28_research_cyp1a2_inhibition	TDC cyp1a2_veith file_id=4259573 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	12579	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP2C19_inhibition	p_cyp2c19_inhibitor	binary_classification	probability	C	v28_research_cyp2c19_inhibition	TDC cyp2c19_veith file_id=4259576 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	12665	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP2C9_inhibition	p_cyp2c9_inhibitor	binary_classification	probability	C	v28_research_cyp2c9_inhibition	TDC cyp2c9_veith file_id=4259577 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	12092	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP2D6_inhibition	p_cyp2d6_inhibitor	binary_classification	probability	C	v28_research_cyp2d6_inhibition	TDC cyp2d6_veith file_id=4259580 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	13130	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP3A4_inhibition	p_cyp3a4_inhibitor	binary_classification	probability	C	v28_research_cyp3a4_inhibition	TDC cyp3a4_veith file_id=4259582 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	12328	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP2C9_substrate	p_cyp2c9_substrate	binary_classification	probability	C	v28_research_cyp2c9_substrate	TDC cyp2c9_substrate_carbonmangels file_id=4259584 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	669	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP2D6_substrate	p_cyp2d6_substrate	binary_classification	probability	C	v28_research_cyp2d6_substrate	TDC cyp2d6_substrate_carbonmangels file_id=4259578 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	667	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	CYP3A4_substrate	p_cyp3a4_substrate	binary_classification	probability	C	v28_research_cyp3a4_substrate	TDC cyp3a4_substrate_carbonmangels file_id=4259581 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	670	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	hERG	p_herg_liability	binary_classification	probability	C	v28_research_herg	TDC herg_karim file_id=6822246 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	13445	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	AMES	p_ames_positive	binary_classification	probability	C	v28_research_ames	TDC ames file_id=4259564 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	7278	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	DILI	p_dili	binary_classification	probability	C	v28_research_dili	TDC dili file_id=4259585 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	475	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	ClinTox	p_clinical_toxicity	binary_classification	probability	C	v28_research_clintox	TDC clintox file_id=4259572 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	1478	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	carcinogenicity	p_carcinogenic	binary_classification	probability	C	v28_research_carcinogenicity	TDC carcinogens_lagunin file_id=4259570 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	280	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	skin_reaction	p_skin_reaction	binary_classification	probability	C	v28_research_skin_reaction	TDC skin_reaction file_id=4259609 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	404	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	overall_peptide_toxicity	p_peptide_toxic	binary_classification	probability	C	v28_research_overall_peptide_toxicity	local frozen peptide research staging	11036	L5_weak_benchmark_label	predicted_low_evidence; research_only=true; low_confidence=true	source-defined weak benchmark binary; do not call experimental toxicity
extended_admet_tox	cytotoxicity	p_cytotoxic	binary_classification	probability	C	v28_research_cytotoxicity	local frozen peptide research staging	312	L2_source_defined_binary	predicted_low_evidence; research_only=true; low_confidence=true	source-defined binary; assay/cell context is mixed
extended_admet_tox	hemolysis	p_hemolytic	binary_classification	probability	C	v28_research_hemolysis	local frozen peptide research staging	2025	L2_source_defined_binary	predicted_low_evidence; research_only=true; low_confidence=true	source-defined binary; distinct from HC50
extended_admet_tox	LD50	log10_ld50_mol_kg	regression	log10(mol/kg)	C	v28_research_ld50	TDC ld50_zhu file_id=4267146 -> local small-molecule teacher -> 4,000 ChEMBL peptide pseudo-labels -> sequence student	7385	L5_self_model_pseudo_label	predicted_low_evidence; research_only=true; low_confidence=true	small-molecule transfer only; not measured peptide/cyclic-peptide endpoint data
extended_admet_tox	HC50	log10_hc50_mol_L	censored_regression	log10(mol/L)	C	v28_research_hc50	local frozen peptide research staging	1926	L0_direct_numeric_curated_dataset	predicted_low_evidence; research_only=true; low_confidence=true	numeric log10(mol/L), not a binary hemolysis label
peptide_specific	cell_penetration	cell_penetration_score	positive_unlabeled_ranking	unit_interval_score	C	v28_research_cell_penetration	local frozen peptide research staging	784	L3_positive_unlabeled	predicted_low_evidence; research_only=true; low_confidence=true	positive-unlabeled ranking; no confirmed negative class
peptide_specific	membrane_retention	membrane_retention_fraction	regression	fraction	E	v28_e_prior_membrane_retention	12 local rows, none sequence-model eligible + transparent prior	12	L4_mechanism_computed	predicted_low_evidence; research_only=true; low_confidence=true	12 rows lack sequence-eligible standard peptides
peptide_specific	human_plasma_stability	human_plasma_t_half_h	censored_regression	h	C	v28_research_human_plasma_stability	local frozen peptide research staging	65	L0_local_frozen_numeric	predicted_low_evidence; research_only=true; low_confidence=true	small, condition-mixed human-plasma subset
peptide_specific	mouse_plasma_stability	mouse_plasma_t_half_h	censored_regression	h	C	v28_research_mouse_plasma_stability	local frozen peptide research staging	45	L0_local_frozen_numeric	predicted_low_evidence; research_only=true; low_confidence=true	very small, condition-mixed mouse-plasma subset
