reason	rows
binary_label_not_0_or_1	9
blank_relation_not_assumed_exact	16
hard_condition_conflict	2137
logd_requires_dimensionless_numeric_value	3
missing_valid_exact_identity	1081
no_valid_model_representation	1081
noncomparable_t1_semantics:brain_homogenate	40
noncomparable_t1_semantics:brain_homogenates	10
noncomparable_t1_semantics:brain_homogenize	1
noncomparable_t1_semantics:contact_lenses	4
noncomparable_t1_semantics:retention_half_life	1
noncomparable_t1_semantics:vitreous	6
semantic_or_source_evidence_review	23
source_derived_weak_or_regulatory_evidence	23
unsupported_cl_unit_or_scale	2
unsupported_or_ambiguous_time_unit	19
unsupported_or_direction_ambiguous_ppb_unit	7
